DATOS,PAÍS,ODS,INDICADOR ODS,TIPO DE FUENTE,FUENTE,MÉTODO DE RECOLECCIÓN,OBJETIVO DE LOS DATOS,LEGISLACIÓN RECOLECCIÓN,LEGISLACIÓN CONFIDENCIALIDAD,LEGISLACIÓN RESTRICCIÓN DE COMERCIALIZACIÓN,VARIABLES,INFORMACIÓN GENERADA,DESAGREGACIÓN GEOGRÁFICA,DISPONIBLE EN LÍNEA,FORMATO,DISPONIBLE EN,FECHA DE CONSULTA,"PERIODICIDAD DE 
 DIFUSIÓN",ÚLTIMA PUBLICACIÓN,CATEGORIAS USUARIOS,USUARIOS DE LA INFORMACIÓN,OBSERVACIONES,CONSULTADO EN
ACTIVIDADES INNOVACION EN EMPRESAS 2011,COSTA RICA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,"MINISTERIO DE CIENCIA, TECNOLOGÍA Y TELECOMUNICACIONES (MICITT)",ENCUESTA POR MUESTREO,Indicadores para caracterizar las empresas por sus actividades de innovación en los diversos sectores industriales y su acceso tecnológico como inversión y productividad para el crecimiento de cada una de las empresas de Costa Rica.,,,,Factor * Tipo de impacto * Tipo de innovación * Actividad innovación * Motivo no financiación,Factores que obstaculizan innovación * Impacto de las innovaciones empresariales según grado de importancia *Factores que obstaculizan innovación * Destino de innovación empresarial según tipo * Empresas innovadoras * Actividades dirigidas a innovación según orientación * Empresas que no accedieron a financiamiento según principales motivos,NACIONAL,SI,XLSX,http://indicadores.micit.go.cr/dashboards/7959/actividades-innovacion-en-empresas-2011/,08/09/2016,ANUAL,2011,,,http://indicadores.micit.go.cr/,
ACTIVIDADES INVESTIGACIÓN Y DESARROLLO EN EMPRESAS 2011,COSTA RICA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,"MINISTERIO DE CIENCIA, TECNOLOGÍA Y TELECOMUNICACIONES (MICITT)",ENCUESTA POR MUESTREO,"Presentar estadísticas de las actividades de las empresas e inversiones para promover incremento de porcentaje de ventas, inversiones y productividad empresarial.",,,,Tamaño empresa * Año *Regularidad de actividad* Agentes * Instituciones,Inversión promedio en I+D por tamaño de empresa * Regularidad de actividades I+D en empresas * Relación de empresas con agentes e instituciones * Inversion estimada en I+D sector empresarial * % de inversión en I+D de las ventas de las empresas,NACIONAL,SI,XLSX,http://indicadores.micit.go.cr/dashboards/7990/actividades-id-en-empresas-2011/,08/09/2011,ANUAL,2011,,,http://indicadores.micit.go.cr/,
ARANCELES,COSTA RICA,17 ALIANZAS PARA LOGRAR LOS OBJETIVOS,COSTA RICA,SECTOR PÚBLICO,MINISTERIO DE COMERCIO EXTERIOR (COMEX),REGISTRO ADMINISTRATIVO,"Ofrecer al público información sobre aranceles, La información sobre aranceles y otros indicadores se origina en el Ministerio de Planificación Nacional y Política Económica (MIDEPLAN).",,,,Sector * Año,"Evolución del arancel promedio, por sector económico",NACIONAL,SI,XLSX,http://www.comex.go.cr/estadisticas/aranceles.aspx,09/09/2016,ANUAL,dic.-15,,,http://www.comex.go.cr/estadisticas/index.aspx,
ESTADÍSTICAS DE CERTIFICACIÓN DE SEMILLAS ESPECIES FORESTALES,COSTA RICA,2 HAMBRE CERO,,SECTOR PÚBLICO,OFICINA NACIONAL DE SEMILLAS,REGISTRO ADMINISTRATIVO,"Presentar estadística para las semillas Tecaz y Melina, desde el inicio del programa en 1994 a 2009",,,,Año * Semilla * Peso en kg * Valor,"Producción de Semilla Certificada de Teca y Melina 1994-2009 * Exportación de Semillas de Especies Forestales
 Teca y Melina 1994-2009",NACIONAL,SI,HTML,http://www.ofinase.go.cr/index.php?option=com_content&view=article&id=159%3Aestadisticas-certificacion-especies-foresales&catid=42%3Acertificaciondesemillas&Itemid=161&lang=es,09/09/2016,NO ESTABLECIDO,NO INDICA,,,http://www.ofinase.go.cr/index.php?option=com_content&view=article&id=159%3Aestadisticas-certificacion-especies-foresales&catid=42%3Acertificaciondesemillas&Itemid=161&lang=es,PARA EXTRACCIÓN
ESTADÍSTICAS DE CERTIFICACIÓN DE SEMILLAS ESPECIES FORESTALES,COSTA RICA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,OFICINA NACIONAL DE SEMILLAS,REGISTRO ADMINISTRATIVO,"Presentar estadística para las semillas Tecaz y Melina, desde el inicio del programa en 1994 a 2009",,,,Año * Semilla * Peso en kg * Valor,"Producción de Semilla Certificada de Teca y Melina 1994-2009 * Exportación de Semillas de Especies Forestales
 Teca y Melina 1994-2009",NACIONAL,SI,HTML,http://www.ofinase.go.cr/index.php?option=com_content&view=article&id=159%3Aestadisticas-certificacion-especies-foresales&catid=42%3Acertificaciondesemillas&Itemid=161&lang=es,09/09/2016,NO ESTABLECIDO,NO INDICA,,,http://www.ofinase.go.cr/index.php?option=com_content&view=article&id=159%3Aestadisticas-certificacion-especies-foresales&catid=42%3Acertificaciondesemillas&Itemid=161&lang=es,PARA EXTRACCIÓN
USOS Y APORTES DE LA MADERA EN COSTA RICA-ESTADÍSTICAS 2014,COSTA RICA,15 VIDA DE ECOSISTEMAS TERRESTRES,,SECTOR PÚBLICO,OFICINA NACIONAL FORESTAL,MULTIPLES FUENTES,"El estudio recopila información −entre las industrias forestales− sobre consumo de madera en troza de las diferentes fuentes demateria prima (bosque natural, plantaciones forestales, terrenos de uso agropecuario y su utilización), precisa el aporte socioeconómico del sector forestal en términos de valor agregado y generación de empleo, determina la cantidad de empresas en operación, compara los estudios anteriores, identifica las principales tendencias de producción, procedencia de la materia prima, empleo y la balanza comercial.",,,,Fuente * Uso * Tarima * Sector productivo * Empleo Partida * Descripción * Exportación * Importación * Pais * Partida arancelaria * Volumen de producto * Año * Volumen * Consumo,"Fuentes de madera cosechada localmente, 2014 * Principales usos de la madera * Usos de la madera en la construcción , Tarimas utilizadas para el embalaje de los principales productos exportados * Empleo directo generado por el uso de la madera, 2014 * Valor en millones de dólares (US$) de las exportaciones e importaciones de productos forestales en Costa Rica, 2014 .Valor de los principales productos primarios de madera exportados por país de destino para el 2014 *Valor de los principales productos primarios de madera importados por país de procedencia para el 2014 * Consumo aparente de madera en Costa Rica para el período 2011-2014 * Monto y volumen adjudicado para la sub partida 2.03.03 Madera y sus derivados, del 2007 al 2014 * Precios de referencia promedio para madera en pie, en troza puesta en patio de aserradero y aserrada expresada en colones por pulgada maderera tica (¢/pmt) para el primer semestre del 2015",NACIONAL,NO,NA,OFICINA NACIONAL FORESTAL,09/09/2016,ANUAL,2014,,,http://www.oficinaforestalcr.org/article/usos-y-aportes-de-la-madera-en-costa-rica/,
ESTADISTICAS DE LA CONSTRUCCIÓN,COSTA RICA,6 AGUA LIMPIA Y SANEAMIENTO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",REGISTRO ADMINISTRATIVO,Los Índices de Precios de la Construcción se diseñaron para medir exclusivamente el cambio en los precios de los insumos directos para la construcción (materiales),,,,Número de dormitorios por vivienda * área en m2 por vivienda * número de vivienda * ubicación * precio vivienda * clase de obra * permisos construcción,"Construcción de viviendas y apartamentos por aposentos y dormitorios según provincia, cantón y grupos de área en metros cuadrados * Construcción de viviendas y apartamentos por número de permisos, número de viviendas, área en metros cuadrados y valor en miles de colones según provincia, cantón y grupos de área en metros cuadrados * Número de construcciones en el país por número de pisos según provincia y actividad económica * Número de construcciones, área en metros cuadrados y valor en miles de colones por clase de obra según provincia y cantón * Número de obras, área en metros cuadrados y valor en miles de colones por clase de permiso según provincia, cantón y destino de la obra",SÍ,SI,XLSX,http://www.inec.go.cr/economia/indices-de-precios-de-la-construccion,09/09/2016,ANUAL,jul.-16,,,http://www.inec.go.cr/economia/estadisticas-de-la-construccion,
ESTADISTICAS DE LA CONSTRUCCIÓN,COSTA RICA,"9 INDUSTRIA, INNOVACIÓN E INFRAESTRUCTURA",,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,Los Índices de Precios de la Construcción se diseñaron para medir exclusivamente el cambio en los precios de los insumos directos para la construcción (materiales),,,,Número de dormitorios por vivienda * área en m2 por vivienda * número de vivienda * ubicación * precio vivienda * clase de obra * permisos construcción,"Construcción de viviendas y apartamentos por aposentos y dormitorios según provincia, cantón y grupos de área en metros cuadrados * Construcción de viviendas y apartamentos por número de permisos, número de viviendas, área en metros cuadrados y valor en miles de colones según provincia, cantón y grupos de área en metros cuadrados * Número de construcciones en el país por número de pisos según provincia y actividad económica * Número de construcciones, área en metros cuadrados y valor en miles de colones por clase de obra según provincia y cantón * Número de obras, área en metros cuadrados y valor en miles de colones por clase de permiso según provincia, cantón y destino de la obra",PROVINCIA*CANTÓN*GRUPOS DE ÁREA,SI,XLSX,http://www.inec.go.cr/economia/estadisticas-de-la-construccion,09/09/2016,ANUAL,jul.-16,,,http://www.inec.go.cr/economia/estadisticas-de-la-construccion,
ENAE ENCUESTA NACIONAL A EMPRESAS,COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Caracterizar las actividades económicas por sector, por trabajador, sexo y grupo ocupacional",,,,Sector económico de la empresa * Horas extras remuneradas * número trabajadores * sexo * Grupo ocupacional * Horas ordinarias remuneradas * Remuneración mensual,"Empresas por trimestre según sector económico * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y grupo ocupacional * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y sector económico * Horas ordinarias mensuales remuneradas por trabajador * Puestos vacantes por trimestre, según grupo ocupacional",NACIONAL,SI,XLSX,http://sistemas.inec.cr/pad4/index.php/catalog/161/study-description,09/09/2016,ANUAL,2015,,,http://sistemas.inec.cr/pad4/index.php/catalog/161/study-description,
ENAE ENCUESTA NACIONAL A EMPRESAS,COSTA RICA,5 IGUALDAD DE GÉNERO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Caracterizar las actividades económicas por sector, por trabajador, sexo y grupo ocupacional",,,,Sector económico de la empresa * Horas extras remuneradas * número trabajadores * sexo * Grupo ocupacional * Horas ordinarias remuneradas * Remuneración mensual,"Empresas por trimestre según sector económico * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y grupo ocupacional * Horas extraordinarias mensuales remuneradas por trabajador, por sexo, según trimestre y sector económico * Horas ordinarias mensuales remuneradas por trabajador * Puestos vacantes por trimestre, según grupo ocupacional",NACIONAL,SI,XLSX,http://sistemas.inec.cr/pad4/index.php/catalog/161/study-description,09/09/2016,ANUAL,2015,,,http://sistemas.inec.cr/pad4/index.php/catalog/161/study-description,
ENHOPRO ENCUESTA DE HOGARES PRODUCTORES,COSTA RICA,8 TRABAJO DECENTE Y CRECIMIENTO ECONÓMICO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Recopilar, analizar y divulgar información sobre las actividades productivas de bienes y servicios desarrolladas por personas en forma independiente (sean patronos o cuenta propia), denominadas emprendimiento de los hogares.",,,,Nivel de educación * Edad * Sexo emprendedores * actividad económica *Créditos aprobados * * Apoyo de instituciones * tamaño del negocio * permanencia en el mercado * Empleo,"Emprendedores de los hogares con créditos aprobados por año según destino * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación, jefatura del hogar y otros * Emprendimientos de los hogares por año según características de formalidad *Emprendimientos de los hogares por año según disponibilidad de local para realizar tareas",NACIONAL,SI,XLSX,http://sistemas.inec.cr/pad4/index.php/catalog/157/study-description,09/09/2016,ANUAL,2015,,,http://sistemas.inec.cr/pad4/index.php/catalog/157/study-description,
ENHOPRO ENCUESTA DE HOGARES PRODUCTORES,COSTA RICA,5 IGUALDAD DE GÉNERO,,SECTOR PÚBLICO,"INSTITUTO NACIONAL DE ESTADÍSTICAS Y CENSOS ""INEC""",ENCUESTA POR MUESTREO,"Recopilar, analizar y divulgar información sobre las actividades productivas de bienes y servicios desarrolladas por personas en forma independiente (sean patronos o cuenta propia), denominadas emprendimiento de los hogares.",,,,Nivel de educación * Edad * Sexo emprendedores * Actividad económica *Créditos aprobados * * Apoyo de instituciones * tamaño del negocio * permanencia en el mercado,"Emprendedores de los hogares con créditos aprobados por año según destino * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación * Emprendedores de los hogares por año según sexo, grupo de edad, nivel de educación y otros * Emprendedores de los hogares por año y sexo según grupo de edad, nivel de educación, jefatura del hogar y otros * Emprendimientos de los hogares por año según características de formalidad *Emprendimientos de los hogares por año según disponibilidad de local para realizar tareas",NACIONAL,SI,XLSX,http://sistemas.inec.cr/pad4/index.php/catalog/157/study-description,09/09/2016,ANUAL,2015,,,http://www.inec.go.cr/economia/sector-informal,
ENCUESTA DE USO DE TIEMPO DE LA GRAN ÁREA METROPOLITANA,COSTA RICA,1 FIN DE LA POBREZA,,ACADEMIA,UNIVERSIDAD DE COSTA RICA (UCR) - CENTRO CENTROAMERICANO DE POBLACIÓN,ENCUESTA POR MUESTREO,"Analizar los patrones de uso de tiempo y la producción y consumo no remunerado en Costa Rica. El dividendo de género es una oportunidad potencial para el crecimiento económico, producto del incremento de la participación de la mujer en el mercado laboral; sin embargo, el trabajo no remunerado que realizan las mujeres en el hogar puede considerarse como una barrera para incrementar su participación en la fuerza de trabajo.",,,,Edad * Sexo,"Distribución de la muestra por grupos de edad y sexo. Costa Rica, 2011 * Agrupaciones de las actividades de la Encuesta de Uso de Tiempo.
 Costa Rica, 201 * Actividades incluidas en los dos grupos principales de producción no remunerada. Costa Rica, 2011",NACIONAL,NO,NA,UNIVERSIDAD DE COSTA RICA (UCR) - CENTRO CENTROAMERICANO DE POBLACIÓN,11/09/2016,,2011,,,http://biblioteca.ccp.ucr.ac.cr/handle/123456789/1392,
ENCUESTA DE USO DE TIEMPO DE LA GRAN ÁREA METROPOLITANA,COSTA RICA,5 IGUALDAD DE GÉNERO,,ACADEMIA,UNIVERSIDAD DE COSTA RICA (UCR) - CENTRO CENTROAMERICANO DE POBLACIÓN,ENCUESTA POR MUESTREO,"Analizar los patrones de uso de tiempo y la producción y consumo no remunerado en Costa Rica. El dividendo de género es una oportunidad potencial para el crecimiento económico, producto del incremento de la participación de la mujer en el mercado laboral; sin embargo, el trabajo no remunerado que realizan las mujeres en el hogar puede considerarse como una barrera para incrementar su participación en la fuerza de trabajo.",,,,Edad * Sexo,"Distribución de la muestra por grupos de edad y sexo. Costa Rica, 2011 * Agrupaciones de las actividades de la Encuesta de Uso de Tiempo.
 Costa Rica, 201 * Actividades incluidas en los dos grupos principales de producción no remunerada. Costa Rica, 2011",NACIONAL,NO,NA,UNIVERSIDAD DE COSTA RICA (UCR) - CENTRO CENTROAMERICANO DE POBLACIÓN,11/09/2016,,2011,,,http://biblioteca.ccp.ucr.ac.cr/handle/123456789/1392,
ESTIMACIONES DE LAS POBLACIONES META DE CADA PROGRAMA FINANCIADO POR EL FODESAF. 2015,COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),REGISTRO ADMINISTRATIVO,"Presentar las estimaciones de las poblaciones meta de cada programa financiado por el FODESAF 2015, apoyados en la información trimestral y anual, que envían los programas sociales que reciben recursos del Fodesaf. Contiene además alguna información del Censo 2011 y de la Encuesta Nacional de Hogares del Instituto Nacional de Estadística y Censos, INEC.",,,,Programa * Producto * Criterio * Pobres por ingresos insuficientes * Grupos vulnerables * Grupos medios * Grupos acomodados,"Programa, producto y criterio totales de control * Bono familiar para la vivienda (BFV) * Regimen no contributivo de pensiones (RNC) * Asegurados por cuenta del estado (ACE) * Pacientes en fase terminal (FT) * Pobreza y discapacidad (CNREE) * Acueductos rurales (ACRU-AYA) * Bienestar y promoción familiar (IMAS) * Programa de alimentación y nutrición del escolar (PANEA-CE) * Becas para estudiar (FONABE) * Nutrición y desarrollo infantil (CEN-CINAI) * Saneamiento básico (SANEBAR - MS) * Construyendo lazos de solidaridad (CONAPAM) * Programa Nacional de Empleo (PRONAE-MTSS) * Empléate * Programa Nacional de Apoyo a la Pequeña y Mediana Empresa (PRONAMYPE-MTSS)",NACIONAL,SI,XLSX,http://fodesaf.go.cr/Programas%20Sociales/indicadores.html#HERMES_ACCORDION_1_4,12/09/2016,ANUAL,sep-14,,,http://fodesaf.go.cr/Programas%20Sociales/indicadores.html#HERMES_ACCORDION_1_4,
INDICADORES 2014 Y COMPARATIVO 2011-2014 FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),REGISTRO ADMINISTRATIVO,Presentar informe de evaluación de los programas sociales selectivos financiados por el Fondo de Desarrollo Social y Asignaciones familiares (FODESAF),,,,Programa * Monto girado * Gasto total * Beneficiarios * Número de productos,Distribución de recursos y beneficiarios del FODESAF 2014 * Indicadores de Resultado 2014,NACIONAL,NO,NA,FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),13/09/2016,NO ESTABLECIDO,2014,,,http://fodesaf.go.cr/fodesaf/Archivos%20de%20Estudios%20IICE/Informe%20de%20indicadores%202014%20y%20comparativo%202011-2014.pdf,
INDICADORES 2014 Y COMPARATIVO 2011-2014 FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),COSTA RICA,1 FIN DE LA POBREZA,,SECTOR PÚBLICO,FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),REGISTRO ADMINISTRATIVO,Presentar informe de evaluación de los programas sociales selectivos financiados por el Fondo de Desarrollo Social y Asignaciones familiares (FODESAF),,,,Programa * Monto girado * Gasto total * Beneficiarios * Número de productos,Distribución de recursos y beneficiarios del FODESAF 2014 * Indicadores de Resultado 2014,NACIONAL,NO,NA,FONDO DE DESARROLLO SOCIAL Y ASIGNACIONES FAMILIARES (FODESAF),13/09/2016,NO ESTABLECIDO,2014,,,http://fodesaf.go.cr/fodesaf/Archivos%20de%20Estudios%20IICE/Informe%20de%20indicadores%202014%20y%20comparativo%202011-2014.pdf,
ATLAS DEL DESARROLLO HUMANO CANTONAL 2016 - REFERENCIAS ESTADÍSTICAS,COSTA RICA,1 FIN DE LA POBREZA,,ACADEMIA,UNIVERSIDAD DE COSTA RICA - ESCUELA DE ESTADÍSTICA (EE-UCR),NA,"Poner a disposición del país la información, y actualización (dato y metodológico), del Atlas del Desarrollo Humano Cantonal de Costa Rica, el cual incluye el cálculo del Índice de Desarrollo Humano cantonal (IDHc), el Índice de Pobreza Humana cantonal (IPHc), el Índice de Desarrollo Relativo al Género en el ámbito cantonal (IDGc) y el Índice de Potenciación de Género cantonal (IPGc). El Atlas constituye una base de datos de consulta frecuente por parte de instituciones gubernamentales,municipalidades, centros académicos, organizaciones de la sociedad civil, medios de comunicación y la ciudadanía en general, convirtiéndose en una herramienta de monitoreo relevante para la toma de decisiones.",,,,Índice de esperanza de vida * Índice de bienestar material * Índice de conocimiento * Índice de matriculización global * Índice de esperanza de vida igualmente distribuido* Índice de conocimiento igualmente distribuido * Indice de bienestar material igualmene distribuido * PEID indexado para participación económica * PEID del poder sobre los recursos económicos,Referencias estadísticas :Dimensión Nivel de vida digno * Dimensión Participación política y poder de decisión * Dimensión Participación económica y poder de decisión * Dimensión Poder sobre los recursos económicos * Dimensión Vida larga y saludable * Dimensión Educación * Dimensión Exclusión social * Dimensión Nivel de vida digno * Métodología cálculo de índices,NACIONAL * CANTÓN,SI,xlsx,http://desarrollohumano.or.cr/mapa-cantonal/index.php/informacion-adicional,13/09/2016,NO ESTABLECIDO,2016,,,http://desarrollohumano.or.cr/mapa-cantonal/index.php/informacion-adicional,
ATLAS DEL DESARROLLO HUMANO CANTONAL 2016 - REFERENCIAS ESTADÍSTICAS,COSTA RICA,5 IGUALDAD DE GÉNERO,,ACADEMIA,UNIVERSIDAD DE COSTA RICA - ESCUELA DE ESTADÍSTICA (EE-UCR),NA,"Poner a disposición del país la información, y actualización (dato y metodológico), del Atlas del Desarrollo Humano Cantonal de Costa Rica, el cual incluye el cálculo del Índice de Desarrollo Humano cantonal (IDHc), el Índice de Pobreza Humana cantonal (IPHc), el Índice de Desarrollo Relativo al Género en el ámbito cantonal (IDGc) y el Índice de Potenciación de Género cantonal (IPGc). El Atlas constituye una base de datos de consulta frecuente por parte de instituciones gubernamentales,municipalidades, centros académicos, organizaciones de la sociedad civil, medios de comunicación y la ciudadanía en general, convirtiéndose en una herramienta de monitoreo relevante para la toma de decisiones.",,,,Índice de esperanza de vida * Índice de bienestar material * Índice de conocimiento * Índice de matriculización global * Índice de esperanza de vida igualmente distribuido* Índice de conocimiento igualmente distribuido * Indice de bienestar material igualmene distribuido * PEID indexado para participación económica * PEID del poder sobre los recursos económicos,Referencias estadísticas :Dimensión Nivel de vida digno * Dimensión Participación política y poder de decisión * Dimensión Participación económica y poder de decisión * Dimensión Poder sobre los recursos económicos * Dimensión Vida larga y saludable * Dimensión Educación * Dimensión Exclusión social * Dimensión Nivel de vida digno * Métodología cálculo de índices,NACIONAL * CANTÓN,SI,xlsx,http://desarrollohumano.or.cr/mapa-cantonal/index.php/informacion-adicional,14/09/2016,NO ESTABLECIDO,2016,,,http://desarrollohumano.or.cr/mapa-cantonal/index.php/informacion-adicional,
ESTADÍSTICAS DE ADOPCIONES 2007-2014,COSTA RICA,10 REDUCCIÓN DE LAS DESIGUALDADES,,SECTOR PÚBLICO,PATRONATO NACIONALDE LA INFANCIA (PANI),,"Recopilar información del proceso de adopciones en Costa Rica, como Institución rectora en derechos de la niñez y la adolescencia.",,,,Año * Ubicación Nacional * Ubicación Internacional * Solicitud Nacional * Solicitud Internacional * Sexo * Adopción individual * Adopción en pareja * Tiempo de espera,"Datos relevantes de los procesos de ubicación de personas menores de edad con fines adoptivos * Algunos datos comparativos de ubicación con fines adoptivos durante los últimos tres años * Número total de 
 familias que conformaron el banco de familias elegibles para la ubicación de personas menores de edad con fines adoptivos 
 durante períodos anuales, por año y por tipo de proceso * Número de personas menores de edad ubicadas con fines adoptivos por los Consejos Regional y Nacional, con familias aprobadas 
 por la 
 institución, por año y tipo de proceso * Número de familias del banco de 
 elegibles a las que les fueron ubicadas personas menores de edad con fines adoptivos por año y por tipo de 
 Proceso * tiempo de espera de las familias desde la aprobación a la ubicación 
 nacional * Tiempo de espera de las familias desde la aprobación a la ubicación 
 internacional
  * Realidad de la ubicación con fines adoptivos de personas menores de edad durante el año 2014 desde la perspectiva de los niños y niñas y su derecho a crecer y desarrollarse en una familia * Familias Elegibles Nacionales E Internacionales 
 01/01/2015 Al 24/06/2015",NACIONAL,SI,PDF,http://www.pani.go.cr/publicaciones/documentos/adopciones/542-procesos-del-departamento-de-adopciones-del-pani/file,14/09/2016,NO ESTABLECIDO,12/2015,,,http://www.pani.go.cr/publicaciones/documentos/adopciones,PARA EXTRACCIÓN
ESTADÍSTICAS DE ADOPCIONES 2007-2014,COSTA RICA,2 HAMBRE CERO,,SECTOR PÚBLICO,PATRONATO NACIONALDE LA INFANCIA (PANI),,"Recopilar información del proceso de adopciones en Costa Rica, como Institución rectora en derechos de la niñez y la adolescencia.",,,,Año * Ubicación Nacional * Ubicación Internacional * Solicitud Nacional * Solicitud Internacional * Sexo * Adopción individual * Adopción en pareja * Tiempo de espera,"Datos relevantes de los procesos de ubicación de personas menores de edad con fines adoptivos * Algunos datos comparativos de ubicación con fines adoptivos durante los últimos tres años * Número total de 
 familias que conformaron el banco de familias elegibles para la ubicación de personas menores de edad con fines adoptivos 
 durante períodos anuales, por año y por tipo de proceso * Número de personas menores de edad ubicadas con fines adoptivos por los Consejos Regional y Nacional, con familias aprobadas 
 por la 
 institución, por año y tipo de proceso * Número de familias del banco de 
 elegibles a las que les fueron ubicadas personas menores de edad con fines adoptivos por año y por tipo de 
 Proceso * tiempo de espera de las familias desde la aprobación a la ubicación 
 nacional * Tiempo de espera de las familias desde la aprobación a la ubicación 
 internacional
  * Realidad de la ubicación con fines adoptivos de personas menores de edad durante el año 2014 desde la perspectiva de los niños y niñas y su derecho a crecer y desarrollarse en una familia * Familias Elegibles Nacionales E Internacionales 
 01/01/2015 Al 24/06/2015",NACIONAL,SI,PDF,http://www.pani.go.cr/publicaciones/documentos/adopciones/542-procesos-del-departamento-de-adopciones-del-pani/file,14/09/2016,NO ESTABLECIDO,12/2015,,,http://www.pani.go.cr/publicaciones/documentos/adopciones,PARA EXTRACCIÓN
DATOS USOS DE LA TIERRA Y EMISIONES C02,COSTA RICA,2 HAMBRE CERO,,ORGANISMOS MULTILATERALES,ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA AGRICULTURA Y LA ALIMENTACIÓN (FAO),REGISTRO ADMINISTRATIVO,"Ofrecer resumen de la información relacionada con estadísticas de seguridad alimentaria de Costa Rica, como herramienta para cumplir el compromiso mundial de los ODS que apunta más allá de la reducción del hambre, pretendiendo a cambio su total erradicación.",,,,Año * Recurso * Valor * Extensión * Uso tierra * Cultivo * Producto ganadero * Emisiones (gigagramos)* Sector,Composición de la población * Recursos de la tierra 2011 * Utilización de la tierra * Producción de los tres principales cultivos 2001-2011 * Producción de los tres principales productos ganaderos 2001-2011 * Índices de producción * Número índice de producción neta 2001-2011 * Índices del valor de exportación * Índices del valor de importación * Emisiones de CO2 * Emisiones de CO2 por sector 1990-2012,NACIONAL,SI,HTML,http://faostat3.fao.org/browse/area/48/S,18/09/2016,NO ESTABLECIDO,2011,,,http://faostat3.fao.org/browse/area/48/S,
DATOS USOS DE LA TIERRA Y EMISIONES C02,COSTA RICA,13 ACCIÓN POR EL CLIMA,,ORGANISMOS MULTILATERALES,ORGANIZACIÓN DE LAS NACIONES UNIDAS PARA LA AGRICULTURA Y LA ALIMENTACIÓN (FAO),REGISTRO ADMINISTRATIVO,"Ofrecer resumen de la información relacionada con estadísticas de seguridad alimentaria de Costa Rica, como herramienta para cumplir el compromiso mundial de los ODS que apunta más allá de la reducción del hambre, pretendiendo a cambio su total erradicación.",,,,Año * Recurso * Valor * Extensión * Uso tierra * Cultivo * Producto ganadero * Emisiones (gigagramos)* Sector,Composición de la población * Recursos de la tierra 2011 * Utilización de la tierra * Producción de los tres principales cultivos 2001-2011 * Producción de los tres principales productos ganaderos 2001-2011 * Índices de producción * Número índice de producción neta 2001-2011 * Índices del valor de exportación * Índices del valor de importación * Emisiones de CO2 * Emisiones de CO2 por sector 1990-2012,NACIONAL,SI,HTML,http://faostat3.fao.org/browse/area/48/S,18/09/2016,NO ESTABLECIDO,2011,,,http://faostat3.fao.org/browse/area/48/S,
